1265310.CCBD010000081_gene5083,kdpA,Potassium-transporting&nbsp;ATPase&nbsp;potassium-binding&nbsp;subunit,98.9
1265310.CCBD010000063_gene1174,CCBD010000063_gene1174,annotation&nbsp;not&nbsp;available,77.3
1265310.CCBD010000086_gene4679,CCBD010000086_gene4679,annotation&nbsp;not&nbsp;available,77.3
1265310.CCBD010000070_gene120,CCBD010000070_gene120,annotation&nbsp;not&nbsp;available,77.3
1265310.CCBD010000047_gene2597,CCBD010000047_gene2597,annotation&nbsp;not&nbsp;available,77.3
1265310.CCBD010000059_gene1328,CCBD010000059_gene1328,annotation&nbsp;not&nbsp;available,77.3
1265310.CCBD010000080_gene5022,CCBD010000080_gene5022,annotation&nbsp;not&nbsp;available,77.3
1265310.CCBD010000015_gene3737,CCBD010000015_gene3737,annotation&nbsp;not&nbsp;available,77.2
1265310.CCBD010000021_gene4195,CCBD010000021_gene4195,annotation&nbsp;not&nbsp;available,77.2
1265310.CCBD010000045_gene819,CCBD010000045_gene819,annotation&nbsp;not&nbsp;available,77.2
1265310.CCBD010000070_gene24,CCBD010000070_gene24,annotation&nbsp;not&nbsp;available,77.2
1265310.CCBD010000043_gene2195,CCBD010000043_gene2195,annotation&nbsp;not&nbsp;available,77.2
1265310.CCBD010000007_gene3170,CCBD010000007_gene3170,annotation&nbsp;not&nbsp;available,77.1
1265310.CCBD010000034_gene2105,CCBD010000034_gene2105,annotation&nbsp;not&nbsp;available,77.1
1265310.CCBD010000021_gene4187,thyX,Flavin-dependent&nbsp;thymidylate&nbsp;synthase,77.1
1265310.CCBD010000007_gene3154,CCBD010000007_gene3154,annotation&nbsp;not&nbsp;available,77.1
1265310.CCBD010000014_gene3771,CCBD010000014_gene3771,annotation&nbsp;not&nbsp;available,77.1
1265310.CCBD010000097_gene4382,CCBD010000097_gene4382,annotation&nbsp;not&nbsp;available,77.1
1265310.CCBD010000086_gene4727,CCBD010000086_gene4727,annotation&nbsp;not&nbsp;available,77.1
1265310.CCBD010000064_gene1133,CCBD010000064_gene1133,annotation&nbsp;not&nbsp;available,77.0
1265310.CCBD010000086_gene4575,CCBD010000086_gene4575,annotation&nbsp;not&nbsp;available,77.0
1265310.CCBD010000075_gene5541,CCBD010000075_gene5541,annotation&nbsp;not&nbsp;available,77.0
1265310.CCBD010000007_gene2943,CCBD010000007_gene2943,annotation&nbsp;not&nbsp;available,77.0
1265310.CCBD010000023_gene4284,CCBD010000023_gene4284,annotation&nbsp;not&nbsp;available,76.9
1265310.CCBD010000089_gene4452,CCBD010000089_gene4452,annotation&nbsp;not&nbsp;available,76.9
1265310.CCBD010000002_gene4868,CCBD010000002_gene4868,annotation&nbsp;not&nbsp;available,76.9
1265310.CCBD010000015_gene3681,CCBD010000015_gene3681,annotation&nbsp;not&nbsp;available,76.9
1265310.CCBD010000073_gene311,CCBD010000073_gene311,annotation&nbsp;not&nbsp;available,76.9
1265310.CCBD010000084_gene4414,CCBD010000084_gene4414,Phosphate-binding&nbsp;protein&nbsp;PstS,76.8
1265310.CCBD010000079_gene5156,CCBD010000079_gene5156,annotation&nbsp;not&nbsp;available,76.8
1265310.CCBD010000079_gene5161,CCBD010000079_gene5161,annotation&nbsp;not&nbsp;available,76.8
1265310.CCBD010000019_gene4057,CCBD010000019_gene4057,annotation&nbsp;not&nbsp;available,76.8
1265310.CCBD010000044_gene731,CCBD010000044_gene731,annotation&nbsp;not&nbsp;available,76.8
1265310.CCBD010000086_gene4663,CCBD010000086_gene4663,annotation&nbsp;not&nbsp;available,76.8
1265310.CCBD010000044_gene641,CCBD010000044_gene641,annotation&nbsp;not&nbsp;available,76.7
1265310.CCBD010000086_gene4579,CCBD010000086_gene4579,annotation&nbsp;not&nbsp;available,76.7
1265310.CCBD010000007_gene2999,CCBD010000007_gene2999,annotation&nbsp;not&nbsp;available,76.7
1265310.CCBD010000088_gene4482,CCBD010000088_gene4482,annotation&nbsp;not&nbsp;available,76.7
1265310.CCBD010000002_gene4860,CCBD010000002_gene4860,annotation&nbsp;not&nbsp;available,76.7
1265310.CCBD010000008_gene2850,CCBD010000008_gene2850,annotation&nbsp;not&nbsp;available,76.7
1265310.CCBD010000068_gene551,CCBD010000068_gene551,annotation&nbsp;not&nbsp;available,76.7
1265310.CCBD010000086_gene4705,CCBD010000086_gene4705,annotation&nbsp;not&nbsp;available,76.7
1265310.CCBD010000063_gene1169,CCBD010000063_gene1169,annotation&nbsp;not&nbsp;available,76.7
1265310.CCBD010000024_gene1827,CCBD010000024_gene1827,annotation&nbsp;not&nbsp;available,76.7
1265310.CCBD010000017_gene3894,CCBD010000017_gene3894,annotation&nbsp;not&nbsp;available,76.7
1265310.CCBD010000082_gene4937,CCBD010000082_gene4937,annotation&nbsp;not&nbsp;available,76.6
1265310.CCBD010000014_gene3866,CCBD010000014_gene3866,annotation&nbsp;not&nbsp;available,76.6
1265310.CCBD010000031_gene1733,CCBD010000031_gene1733,annotation&nbsp;not&nbsp;available,76.6
1265310.CCBD010000044_gene776,CCBD010000044_gene776,annotation&nbsp;not&nbsp;available,76.6
1265310.CCBD010000002_gene4874,CCBD010000002_gene4874,annotation&nbsp;not&nbsp;available,76.6
1265310.CCBD010000029_gene1561,CCBD010000029_gene1561,2-dehydropantoate&nbsp;2-reductase,76.6
1265310.CCBD010000014_gene3824,CCBD010000014_gene3824,annotation&nbsp;not&nbsp;available,76.6
1265310.CCBD010000015_gene3655,CCBD010000015_gene3655,annotation&nbsp;not&nbsp;available,76.5
1265310.CCBD010000043_gene2207,CCBD010000043_gene2207,annotation&nbsp;not&nbsp;available,76.5
1265310.CCBD010000007_gene3207,CCBD010000007_gene3207,annotation&nbsp;not&nbsp;available,76.5
1265310.CCBD010000008_gene2857,CCBD010000008_gene2857,annotation&nbsp;not&nbsp;available,76.5
1265310.CCBD010000045_gene831,CCBD010000045_gene831,annotation&nbsp;not&nbsp;available,76.5
1265310.CCBD010000019_gene3995,thiL,Thiamine-monophosphate&nbsp;kinase,76.5
1265310.CCBD010000062_gene1238,CCBD010000062_gene1238,annotation&nbsp;not&nbsp;available,76.4
1265310.CCBD010000088_gene4511,CCBD010000088_gene4511,annotation&nbsp;not&nbsp;available,76.4
1265310.CCBD010000044_gene642,CCBD010000044_gene642,annotation&nbsp;not&nbsp;available,76.4
1265310.CCBD010000044_gene771,CCBD010000044_gene771,annotation&nbsp;not&nbsp;available,76.3
1265310.CCBD010000044_gene725,CCBD010000044_gene725,annotation&nbsp;not&nbsp;available,76.3
1265310.CCBD010000088_gene4503,CCBD010000088_gene4503,annotation&nbsp;not&nbsp;available,76.2
1265310.CCBD010000061_gene1154,CCBD010000061_gene1154,annotation&nbsp;not&nbsp;available,76.2
1265310.CCBD010000079_gene5189,cysS,annotation&nbsp;not&nbsp;available,76.2
1265310.CCBD010000065_gene926,CCBD010000065_gene926,annotation&nbsp;not&nbsp;available,76.2
1265310.CCBD010000003_gene4812,CCBD010000003_gene4812,annotation&nbsp;not&nbsp;available,76.2
1265310.CCBD010000045_gene806,CCBD010000045_gene806,annotation&nbsp;not&nbsp;available,76.2
1265310.CCBD010000069_gene448,msrA,Peptide&nbsp;methionine&nbsp;sulfoxide&nbsp;reductase&nbsp;MsrA,76.2
1265310.CCBD010000050_gene1889,CCBD010000050_gene1889,annotation&nbsp;not&nbsp;available,76.1
1265310.CCBD010000070_gene64,CCBD010000070_gene64,annotation&nbsp;not&nbsp;available,76.1
1265310.CCBD010000079_gene5196,CCBD010000079_gene5196,annotation&nbsp;not&nbsp;available,76.1
1265310.CCBD010000059_gene1333,CCBD010000059_gene1333,annotation&nbsp;not&nbsp;available,76.0
1265310.CCBD010000011_gene3436,CCBD010000011_gene3436,annotation&nbsp;not&nbsp;available,76.0
1265310.CCBD010000070_gene174,CCBD010000070_gene174,annotation&nbsp;not&nbsp;available,76.0
1265310.CCBD010000043_gene2216,CCBD010000043_gene2216,annotation&nbsp;not&nbsp;available,76.0
1265310.CCBD010000077_gene5285,CCBD010000077_gene5285,annotation&nbsp;not&nbsp;available,76.0
1265310.CCBD010000008_gene2801,CCBD010000008_gene2801,annotation&nbsp;not&nbsp;available,76.0
1265310.CCBD010000061_gene1165,CCBD010000061_gene1165,annotation&nbsp;not&nbsp;available,76.0
1265310.CCBD010000077_gene5315,CCBD010000077_gene5315,annotation&nbsp;not&nbsp;available,76.0
1265310.CCBD010000045_gene813,CCBD010000045_gene813,annotation&nbsp;not&nbsp;available,76.0
1265310.CCBD010000041_gene2229,CCBD010000041_gene2229,annotation&nbsp;not&nbsp;available,76.0
1265310.CCBD010000069_gene459,CCBD010000069_gene459,annotation&nbsp;not&nbsp;available,75.9
1265310.CCBD010000070_gene81,CCBD010000070_gene81,annotation&nbsp;not&nbsp;available,75.9
1265310.CCBD010000014_gene3768,CCBD010000014_gene3768,annotation&nbsp;not&nbsp;available,75.9
1265310.CCBD010000088_gene4492,CCBD010000088_gene4492,annotation&nbsp;not&nbsp;available,75.9
1265310.CCBD010000057_gene1248,CCBD010000057_gene1248,annotation&nbsp;not&nbsp;available,75.9
1265310.CCBD010000058_gene1342,CCBD010000058_gene1342,annotation&nbsp;not&nbsp;available,75.9
1265310.CCBD010000069_gene484,CCBD010000069_gene484,annotation&nbsp;not&nbsp;available,75.8
1265310.CCBD010000023_gene4287,CCBD010000023_gene4287,annotation&nbsp;not&nbsp;available,75.8
1265310.CCBD010000010_gene3411,CCBD010000010_gene3411,annotation&nbsp;not&nbsp;available,75.8
1265310.CCBD010000077_gene5460,CCBD010000077_gene5460,annotation&nbsp;not&nbsp;available,75.8
1265310.CCBD010000009_gene2875,CCBD010000009_gene2875,annotation&nbsp;not&nbsp;available,75.8
1265310.CCBD010000013_gene3341,CCBD010000013_gene3341,annotation&nbsp;not&nbsp;available,75.8
1265310.CCBD010000055_gene1420,CCBD010000055_gene1420,annotation&nbsp;not&nbsp;available,75.8
1265310.CCBD010000095_gene4329,CCBD010000095_gene4329,annotation&nbsp;not&nbsp;available,75.8
1265310.CCBD010000084_gene4407,CCBD010000084_gene4407,annotation&nbsp;not&nbsp;available,75.8
1265310.CCBD010000088_gene4525,CCBD010000088_gene4525,annotation&nbsp;not&nbsp;available,75.7
1265310.CCBD010000082_gene4971,CCBD010000082_gene4971,annotation&nbsp;not&nbsp;available,75.7
1265310.CCBD010000070_gene252,CCBD010000070_gene252,Replicative&nbsp;DNA&nbsp;helicase,75.7
1265310.CCBD010000075_gene5543,CCBD010000075_gene5543,annotation&nbsp;not&nbsp;available,75.7
1265310.CCBD010000014_gene3756,CCBD010000014_gene3756,annotation&nbsp;not&nbsp;available,75.7
1265310.CCBD010000077_gene5324,ligC,annotation&nbsp;not&nbsp;available,75.7
1265310.CCBD010000039_gene2316,CCBD010000039_gene2316,annotation&nbsp;not&nbsp;available,75.7
1265310.CCBD010000059_gene1315,CCBD010000059_gene1315,annotation&nbsp;not&nbsp;available,75.7
1265310.CCBD010000023_gene4281,CCBD010000023_gene4281,annotation&nbsp;not&nbsp;available,75.6
1265310.CCBD010000077_gene5360,leuA,2-isopropylmalate&nbsp;synthase,75.6
1265310.CCBD010000070_gene20,CCBD010000070_gene20,annotation&nbsp;not&nbsp;available,75.6
1265310.CCBD010000007_gene3084,CCBD010000007_gene3084,annotation&nbsp;not&nbsp;available,75.6
1265310.CCBD010000040_gene2238,CCBD010000040_gene2238,annotation&nbsp;not&nbsp;available,75.6
1265310.CCBD010000033_gene1806,hisB,annotation&nbsp;not&nbsp;available,75.6
1265310.CCBD010000082_gene4918,CCBD010000082_gene4918,annotation&nbsp;not&nbsp;available,75.6
1265310.CCBD010000012_gene3305,CCBD010000012_gene3305,annotation&nbsp;not&nbsp;available,75.5
1265310.CCBD010000059_gene1287,CCBD010000059_gene1287,annotation&nbsp;not&nbsp;available,75.5
1265310.CCBD010000007_gene2992,CCBD010000007_gene2992,annotation&nbsp;not&nbsp;available,75.5
1265310.CCBD010000069_gene418,CCBD010000069_gene418,annotation&nbsp;not&nbsp;available,75.5
1265310.CCBD010000084_gene4409,CCBD010000084_gene4409,Phosphate-binding&nbsp;protein&nbsp;PstS,75.4
1265310.CCBD010000059_gene1316,CCBD010000059_gene1316,annotation&nbsp;not&nbsp;available,75.4
1265310.CCBD010000061_gene1159,CCBD010000061_gene1159,annotation&nbsp;not&nbsp;available,75.4
1265310.CCBD010000030_gene1636,CCBD010000030_gene1636,annotation&nbsp;not&nbsp;available,75.4
1265310.CCBD010000050_gene1950,CCBD010000050_gene1950,annotation&nbsp;not&nbsp;available,75.4
1265310.CCBD010000050_gene2041,cobT,Nicotinate-nucleotide--dimethylbenzimidazole&nbsp;phosphoribosyltransferase,75.4
1265310.CCBD010000019_gene4051,rplS,50S&nbsp;ribosomal&nbsp;protein&nbsp;L19,75.3
1265310.CCBD010000070_gene131,CCBD010000070_gene131,annotation&nbsp;not&nbsp;available,75.3
1265310.CCBD010000073_gene329,CCBD010000073_gene329,annotation&nbsp;not&nbsp;available,75.3
1265310.CCBD010000015_gene3591,CCBD010000015_gene3591,annotation&nbsp;not&nbsp;available,75.2
1265310.CCBD010000077_gene5410,CCBD010000077_gene5410,annotation&nbsp;not&nbsp;available,75.2
1265310.CCBD010000039_gene2305,CCBD010000039_gene2305,annotation&nbsp;not&nbsp;available,75.1
1265310.CCBD010000008_gene2784,CCBD010000008_gene2784,annotation&nbsp;not&nbsp;available,75.1
1265310.CCBD010000010_gene3398,CCBD010000010_gene3398,annotation&nbsp;not&nbsp;available,75.1
1265310.CCBD010000046_gene2454,CCBD010000046_gene2454,annotation&nbsp;not&nbsp;available,75.1
1265310.CCBD010000070_gene75,CCBD010000070_gene75,annotation&nbsp;not&nbsp;available,75.1
1265310.CCBD010000058_gene1349,CCBD010000058_gene1349,annotation&nbsp;not&nbsp;available,75.1
1265310.CCBD010000010_gene3355,CCBD010000010_gene3355,annotation&nbsp;not&nbsp;available,75.1
1265310.CCBD010000069_gene479,CCBD010000069_gene479,annotation&nbsp;not&nbsp;available,75.1
1265310.CCBD010000010_gene3400,CCBD010000010_gene3400,annotation&nbsp;not&nbsp;available,75.1
1265310.CCBD010000015_gene3708,CCBD010000015_gene3708,annotation&nbsp;not&nbsp;available,75.0
1265310.CCBD010000093_gene4744,CCBD010000093_gene4744,annotation&nbsp;not&nbsp;available,75.0
1265310.CCBD010000047_gene2474,CCBD010000047_gene2474,annotation&nbsp;not&nbsp;available,75.0
1265310.CCBD010000082_gene4965,CCBD010000082_gene4965,annotation&nbsp;not&nbsp;available,75.0
1265310.CCBD010000051_gene2148,CCBD010000051_gene2148,annotation&nbsp;not&nbsp;available,74.9
1265310.CCBD010000086_gene4621,CCBD010000086_gene4621,annotation&nbsp;not&nbsp;available,74.9
1265310.CCBD010000022_gene4300,CCBD010000022_gene4300,annotation&nbsp;not&nbsp;available,74.9
1265310.CCBD010000014_gene3785,CCBD010000014_gene3785,annotation&nbsp;not&nbsp;available,74.9
1265310.CCBD010000039_gene2255,CCBD010000039_gene2255,annotation&nbsp;not&nbsp;available,74.9
1265310.CCBD010000006_gene2902,CCBD010000006_gene2902,annotation&nbsp;not&nbsp;available,74.9
1265310.CCBD010000017_gene3920,CCBD010000017_gene3920,annotation&nbsp;not&nbsp;available,74.9
1265310.CCBD010000031_gene1757,CCBD010000031_gene1757,annotation&nbsp;not&nbsp;available,74.9
1265310.CCBD010000081_gene5109,CCBD010000081_gene5109,annotation&nbsp;not&nbsp;available,74.8
1265310.CCBD010000015_gene3668,rnhA,Ribonuclease&nbsp;H,74.8
1265310.CCBD010000044_gene697,CCBD010000044_gene697,annotation&nbsp;not&nbsp;available,74.8
1265310.CCBD010000064_gene1130,CCBD010000064_gene1130,annotation&nbsp;not&nbsp;available,74.8
1265310.CCBD010000015_gene3730,CCBD010000015_gene3730,annotation&nbsp;not&nbsp;available,74.8
1265310.CCBD010000044_gene603,CCBD010000044_gene603,annotation&nbsp;not&nbsp;available,74.7
1265310.CCBD010000064_gene1037,CCBD010000064_gene1037,annotation&nbsp;not&nbsp;available,74.7
1265310.CCBD010000014_gene3767,CCBD010000014_gene3767,annotation&nbsp;not&nbsp;available,74.7
1265310.CCBD010000023_gene4279,CCBD010000023_gene4279,annotation&nbsp;not&nbsp;available,74.7
1265310.CCBD010000039_gene2269,CCBD010000039_gene2269,annotation&nbsp;not&nbsp;available,74.7
1265310.CCBD010000020_gene4245,CCBD010000020_gene4245,annotation&nbsp;not&nbsp;available,74.7
1265310.CCBD010000050_gene2004,CCBD010000050_gene2004,annotation&nbsp;not&nbsp;available,74.7
1265310.CCBD010000024_gene1842,CCBD010000024_gene1842,annotation&nbsp;not&nbsp;available,74.7
1265310.CCBD010000077_gene5415,CCBD010000077_gene5415,annotation&nbsp;not&nbsp;available,74.6
1265310.CCBD010000069_gene431,CCBD010000069_gene431,annotation&nbsp;not&nbsp;available,74.6
1265310.CCBD010000045_gene848,CCBD010000045_gene848,annotation&nbsp;not&nbsp;available,74.6
1265310.CCBD010000015_gene3587,CCBD010000015_gene3587,annotation&nbsp;not&nbsp;available,74.6
1265310.CCBD010000045_gene830,CCBD010000045_gene830,annotation&nbsp;not&nbsp;available,74.5
1265310.CCBD010000070_gene11,CCBD010000070_gene11,annotation&nbsp;not&nbsp;available,74.5
1265310.CCBD010000050_gene1954,CCBD010000050_gene1954,annotation&nbsp;not&nbsp;available,74.5
1265310.CCBD010000050_gene1878,CCBD010000050_gene1878,annotation&nbsp;not&nbsp;available,74.4
1265310.CCBD010000070_gene41,CCBD010000070_gene41,annotation&nbsp;not&nbsp;available,74.4
1265310.CCBD010000024_gene1851,CCBD010000024_gene1851,annotation&nbsp;not&nbsp;available,74.4
1265310.CCBD010000031_gene1764,CCBD010000031_gene1764,annotation&nbsp;not&nbsp;available,74.4
1265310.CCBD010000077_gene5363,asd,Aspartate-semialdehyde&nbsp;dehydrogenase,74.4
1265310.CCBD010000084_gene4437,CCBD010000084_gene4437,annotation&nbsp;not&nbsp;available,74.4
1265310.CCBD010000010_gene3348,CCBD010000010_gene3348,annotation&nbsp;not&nbsp;available,74.4
1265310.CCBD010000023_gene4277,CCBD010000023_gene4277,annotation&nbsp;not&nbsp;available,74.4
1265310.CCBD010000082_gene4995,CCBD010000082_gene4995,annotation&nbsp;not&nbsp;available,74.3
1265310.CCBD010000074_gene5503,CCBD010000074_gene5503,annotation&nbsp;not&nbsp;available,74.3
1265310.CCBD010000019_gene3971,CCBD010000019_gene3971,annotation&nbsp;not&nbsp;available,74.3
1265310.CCBD010000050_gene2022,CCBD010000050_gene2022,annotation&nbsp;not&nbsp;available,74.3
1265310.CCBD010000044_gene650,CCBD010000044_gene650,annotation&nbsp;not&nbsp;available,74.3
1265310.CCBD010000082_gene4960,CCBD010000082_gene4960,annotation&nbsp;not&nbsp;available,74.3
1265310.CCBD010000006_gene2925,CCBD010000006_gene2925,Glucose-1-phosphate&nbsp;thymidylyltransferase,74.2
1265310.CCBD010000050_gene2032,CCBD010000050_gene2032,annotation&nbsp;not&nbsp;available,74.2
1265310.CCBD010000047_gene2471,CCBD010000047_gene2471,annotation&nbsp;not&nbsp;available,74.1
1265310.CCBD010000008_gene2815,CCBD010000008_gene2815,"dTDP-4-dehydrorhamnose&nbsp;3,5-epimerase",74.1
1265310.CCBD010000081_gene5088,CCBD010000081_gene5088,annotation&nbsp;not&nbsp;available,74.1
1265310.CCBD010000070_gene50,CCBD010000070_gene50,annotation&nbsp;not&nbsp;available,74.1
1265310.CCBD010000073_gene299,gyrB,DNA&nbsp;gyrase&nbsp;subunit&nbsp;B,74.1
1265310.CCBD010000020_gene4254,CCBD010000020_gene4254,annotation&nbsp;not&nbsp;available,74.0
1265310.CCBD010000074_gene5512,CCBD010000074_gene5512,annotation&nbsp;not&nbsp;available,74.0
1265310.CCBD010000044_gene636,atpC,ATP&nbsp;synthase&nbsp;epsilon&nbsp;chain,74.0
1265310.CCBD010000054_gene1460,CCBD010000054_gene1460,annotation&nbsp;not&nbsp;available,74.0
1265310.CCBD010000055_gene1401,CCBD010000055_gene1401,annotation&nbsp;not&nbsp;available,74.0
1265310.CCBD010000043_gene2183,CCBD010000043_gene2183,annotation&nbsp;not&nbsp;available,73.9
1265310.CCBD010000014_gene3758,CCBD010000014_gene3758,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecA,73.9
1265310.CCBD010000082_gene4902,CCBD010000082_gene4902,annotation&nbsp;not&nbsp;available,73.9
1265310.CCBD010000017_gene3898,CCBD010000017_gene3898,annotation&nbsp;not&nbsp;available,73.9
1265310.CCBD010000019_gene3979,leuB,3-isopropylmalate&nbsp;dehydrogenase,73.9
1265310.CCBD010000013_gene3324,fbiB,Coenzyme&nbsp;F420:L-glutamate&nbsp;ligase,73.8
1265310.CCBD010000027_gene1539,CCBD010000027_gene1539,annotation&nbsp;not&nbsp;available,73.8
1265310.CCBD010000051_gene2136,murG,Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc&nbsp;GlcNAc&nbsp;transferase,73.8
1265310.CCBD010000011_gene3414,CCBD010000011_gene3414,annotation&nbsp;not&nbsp;available,73.8
1265310.CCBD010000087_gene4532,CCBD010000087_gene4532,annotation&nbsp;not&nbsp;available,73.7
1265310.CCBD010000054_gene1511,CCBD010000054_gene1511,annotation&nbsp;not&nbsp;available,73.7
1265310.CCBD010000050_gene2013,CCBD010000050_gene2013,annotation&nbsp;not&nbsp;available,73.7
1265310.CCBD010000020_gene4252,CCBD010000020_gene4252,annotation&nbsp;not&nbsp;available,73.7
1265310.CCBD010000059_gene1301,CCBD010000059_gene1301,annotation&nbsp;not&nbsp;available,73.7
1265310.CCBD010000073_gene298,CCBD010000073_gene298,annotation&nbsp;not&nbsp;available,73.6
1265310.CCBD010000014_gene3878,CCBD010000014_gene3878,annotation&nbsp;not&nbsp;available,73.6
1265310.CCBD010000079_gene5147,CCBD010000079_gene5147,annotation&nbsp;not&nbsp;available,73.6
1265310.CCBD010000070_gene100,CCBD010000070_gene100,annotation&nbsp;not&nbsp;available,73.6
1265310.CCBD010000089_gene4457,CCBD010000089_gene4457,annotation&nbsp;not&nbsp;available,73.6
1265310.CCBD010000007_gene3090,CCBD010000007_gene3090,annotation&nbsp;not&nbsp;available,73.6
1265310.CCBD010000039_gene2322,CCBD010000039_gene2322,annotation&nbsp;not&nbsp;available,73.5
1265310.CCBD010000010_gene3383,CCBD010000010_gene3383,annotation&nbsp;not&nbsp;available,73.4
1265310.CCBD010000002_gene4880,CCBD010000002_gene4880,annotation&nbsp;not&nbsp;available,73.4
1265310.CCBD010000002_gene4859,CCBD010000002_gene4859,annotation&nbsp;not&nbsp;available,73.4
1265310.CCBD010000015_gene3462,CCBD010000015_gene3462,annotation&nbsp;not&nbsp;available,73.3
1265310.CCBD010000007_gene2961,CCBD010000007_gene2961,annotation&nbsp;not&nbsp;available,73.3
1265310.CCBD010000044_gene778,CCBD010000044_gene778,annotation&nbsp;not&nbsp;available,73.3
1265310.CCBD010000050_gene1996,CCBD010000050_gene1996,annotation&nbsp;not&nbsp;available,73.3
1265310.CCBD010000019_gene4113,mqo,annotation&nbsp;not&nbsp;available,73.3
1265310.CCBD010000019_gene4011,dkgA,annotation&nbsp;not&nbsp;available,73.2
1265310.CCBD010000030_gene1594,CCBD010000030_gene1594,annotation&nbsp;not&nbsp;available,73.2
1265310.CCBD010000043_gene2209,CCBD010000043_gene2209,annotation&nbsp;not&nbsp;available,73.2
1265310.CCBD010000070_gene71,CCBD010000070_gene71,annotation&nbsp;not&nbsp;available,73.2
1265310.CCBD010000019_gene4038,ffh,Signal&nbsp;recognition&nbsp;particle&nbsp;protein,73.1
1265310.CCBD010000070_gene22,CCBD010000070_gene22,annotation&nbsp;not&nbsp;available,73.1
1265310.CCBD010000014_gene3853,CCBD010000014_gene3853,annotation&nbsp;not&nbsp;available,73.1
1265310.CCBD010000007_gene3011,CCBD010000007_gene3011,annotation&nbsp;not&nbsp;available,73.1
1265310.CCBD010000071_gene6,CCBD010000071_gene6,annotation&nbsp;not&nbsp;available,73.1
1265310.CCBD010000023_gene4263,CCBD010000023_gene4263,annotation&nbsp;not&nbsp;available,73.1
1265310.CCBD010000007_gene3151,CCBD010000007_gene3151,annotation&nbsp;not&nbsp;available,73.0
1265310.CCBD010000086_gene4649,CCBD010000086_gene4649,annotation&nbsp;not&nbsp;available,73.0
1265310.CCBD010000031_gene1699,acnA,annotation&nbsp;not&nbsp;available,73.0
1265310.CCBD010000007_gene3056,CCBD010000007_gene3056,annotation&nbsp;not&nbsp;available,73.0
1265310.CCBD010000047_gene2488,CCBD010000047_gene2488,annotation&nbsp;not&nbsp;available,72.9
1265310.CCBD010000077_gene5447,CCBD010000077_gene5447,annotation&nbsp;not&nbsp;available,72.9
1265310.CCBD010000081_gene5033,CCBD010000081_gene5033,Isoprenyl&nbsp;transferase,72.9
1265310.CCBD010000021_gene4186,CCBD010000021_gene4186,annotation&nbsp;not&nbsp;available,72.9
1265310.CCBD010000007_gene3236,CCBD010000007_gene3236,annotation&nbsp;not&nbsp;available,72.9
1265310.CCBD010000047_gene2634,CCBD010000047_gene2634,annotation&nbsp;not&nbsp;available,72.9
1265310.CCBD010000077_gene5401,CCBD010000077_gene5401,annotation&nbsp;not&nbsp;available,72.8
1265310.CCBD010000021_gene4168,CCBD010000021_gene4168,annotation&nbsp;not&nbsp;available,72.8
1265310.CCBD010000015_gene3509,CCBD010000015_gene3509,annotation&nbsp;not&nbsp;available,72.8
1265310.CCBD010000017_gene3930,CCBD010000017_gene3930,annotation&nbsp;not&nbsp;available,72.8
1265310.CCBD010000079_gene5257,CCBD010000079_gene5257,annotation&nbsp;not&nbsp;available,72.8
1265310.CCBD010000054_gene1474,pafA,Pup--protein&nbsp;ligase,72.8
1265310.CCBD010000082_gene4963,CCBD010000082_gene4963,annotation&nbsp;not&nbsp;available,72.8
1265310.CCBD010000085_gene4401,CCBD010000085_gene4401,annotation&nbsp;not&nbsp;available,72.8
1265310.CCBD010000031_gene1660,tpiA,Triosephosphate&nbsp;isomerase,72.8
1265310.CCBD010000084_gene4410,CCBD010000084_gene4410,annotation&nbsp;not&nbsp;available,72.7
1265310.CCBD010000008_gene2731,CCBD010000008_gene2731,annotation&nbsp;not&nbsp;available,72.7
1265310.CCBD010000070_gene12,CCBD010000070_gene12,annotation&nbsp;not&nbsp;available,72.7
1265310.CCBD010000030_gene1592,CCBD010000030_gene1592,annotation&nbsp;not&nbsp;available,72.7
1265310.CCBD010000070_gene160,CCBD010000070_gene160,annotation&nbsp;not&nbsp;available,72.7
1265310.CCBD010000088_gene4495,CCBD010000088_gene4495,annotation&nbsp;not&nbsp;available,72.7
1265310.CCBD010000077_gene5304,CCBD010000077_gene5304,annotation&nbsp;not&nbsp;available,72.7
1265310.CCBD010000015_gene3676,CCBD010000015_gene3676,annotation&nbsp;not&nbsp;available,72.6
1265310.CCBD010000015_gene3537,CCBD010000015_gene3537,annotation&nbsp;not&nbsp;available,72.6
1265310.CCBD010000044_gene633,atpA,ATP&nbsp;synthase&nbsp;subunit&nbsp;alpha,72.5
1265310.CCBD010000062_gene1226,CCBD010000062_gene1226,annotation&nbsp;not&nbsp;available,72.5
1265310.CCBD010000014_gene3763,CCBD010000014_gene3763,annotation&nbsp;not&nbsp;available,72.4
1265310.CCBD010000003_gene4824,CCBD010000003_gene4824,annotation&nbsp;not&nbsp;available,72.4
1265310.CCBD010000079_gene5169,coaX,Type&nbsp;III&nbsp;pantothenate&nbsp;kinase,72.3
1265310.CCBD010000087_gene4552,pstB,Phosphate&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;PstB,72.3
1265310.CCBD010000077_gene5367,CCBD010000077_gene5367,annotation&nbsp;not&nbsp;available,72.3
