1437882.AZRU01000031_gene87,rnpA,Ribonuclease&nbsp;P&nbsp;protein&nbsp;component,98.9
1437882.AZRU01000008_gene2913,AZRU01000008_gene2913,annotation&nbsp;not&nbsp;available,84.7
1437882.AZRU01000011_gene3660,acnA,Aconitate&nbsp;hydratase,84.7
1437882.AZRU01000034_gene424,clpA,annotation&nbsp;not&nbsp;available,84.7
1437882.AZRU01000106_gene6578,AZRU01000106_gene6578,annotation&nbsp;not&nbsp;available,84.7
1437882.AZRU01000001_gene1997,AZRU01000001_gene1997,annotation&nbsp;not&nbsp;available,84.6
1437882.AZRU01000003_gene1630,AZRU01000003_gene1630,annotation&nbsp;not&nbsp;available,84.6
1437882.AZRU01000010_gene645,AZRU01000010_gene645,annotation&nbsp;not&nbsp;available,84.6
1437882.AZRU01000003_gene1712,AZRU01000003_gene1712,3-dehydroquinate&nbsp;dehydratase,84.6
1437882.AZRU01000037_gene4425,AZRU01000037_gene4425,annotation&nbsp;not&nbsp;available,84.6
1437882.AZRU01000089_gene7033,AZRU01000089_gene7033,annotation&nbsp;not&nbsp;available,84.6
1437882.AZRU01000035_gene370,AZRU01000035_gene370,annotation&nbsp;not&nbsp;available,84.6
1437882.AZRU01000076_gene1158,AZRU01000076_gene1158,annotation&nbsp;not&nbsp;available,84.6
1437882.AZRU01000020_gene6186,AZRU01000020_gene6186,annotation&nbsp;not&nbsp;available,84.6
1437882.AZRU01000053_gene3670,AZRU01000053_gene3670,annotation&nbsp;not&nbsp;available,84.6
1437882.AZRU01000054_gene3702,AZRU01000054_gene3702,annotation&nbsp;not&nbsp;available,84.6
1437882.AZRU01000007_gene2993,AZRU01000007_gene2993,annotation&nbsp;not&nbsp;available,84.6
1437882.AZRU01000011_gene3638,AZRU01000011_gene3638,annotation&nbsp;not&nbsp;available,84.6
1437882.AZRU01000031_gene45,AZRU01000031_gene45,annotation&nbsp;not&nbsp;available,84.6
1437882.AZRU01000086_gene5518,AZRU01000086_gene5518,annotation&nbsp;not&nbsp;available,84.6
1437882.AZRU01000063_gene692,accB,Biotin&nbsp;carboxyl&nbsp;carrier&nbsp;protein&nbsp;of&nbsp;acetyl-CoA&nbsp;carboxylase,84.6
1437882.AZRU01000077_gene4000,AZRU01000077_gene4000,annotation&nbsp;not&nbsp;available,84.5
1437882.AZRU01000003_gene1721,AZRU01000003_gene1721,annotation&nbsp;not&nbsp;available,84.5
1437882.AZRU01000022_gene6326,AZRU01000022_gene6326,annotation&nbsp;not&nbsp;available,84.5
1437882.AZRU01000001_gene2151,AZRU01000001_gene2151,annotation&nbsp;not&nbsp;available,84.5
1437882.AZRU01000043_gene4831,AZRU01000043_gene4831,annotation&nbsp;not&nbsp;available,84.5
1437882.AZRU01000022_gene6281,AZRU01000022_gene6281,annotation&nbsp;not&nbsp;available,84.5
1437882.AZRU01000021_gene6200,AZRU01000021_gene6200,annotation&nbsp;not&nbsp;available,84.5
1437882.AZRU01000003_gene1720,AZRU01000003_gene1720,annotation&nbsp;not&nbsp;available,84.5
1437882.AZRU01000023_gene5698,AZRU01000023_gene5698,annotation&nbsp;not&nbsp;available,84.5
1437882.AZRU01000005_gene1325,AZRU01000005_gene1325,annotation&nbsp;not&nbsp;available,84.5
1437882.AZRU01000031_gene78,atpE,ATP&nbsp;synthase&nbsp;subunit&nbsp;c,84.5
1437882.AZRU01000098_gene1106,AZRU01000098_gene1106,annotation&nbsp;not&nbsp;available,84.5
1437882.AZRU01000003_gene1629,AZRU01000003_gene1629,annotation&nbsp;not&nbsp;available,84.5
1437882.AZRU01000211_gene2625,AZRU01000211_gene2625,annotation&nbsp;not&nbsp;available,84.4
1437882.AZRU01000045_gene4749,AZRU01000045_gene4749,annotation&nbsp;not&nbsp;available,84.4
1437882.AZRU01000031_gene76,atpH,ATP&nbsp;synthase&nbsp;subunit&nbsp;delta,84.4
1437882.AZRU01000012_gene3487,surA,Chaperone&nbsp;SurA,84.4
1437882.AZRU01000070_gene2754,AZRU01000070_gene2754,annotation&nbsp;not&nbsp;available,84.4
1437882.AZRU01000211_gene2654,AZRU01000211_gene2654,annotation&nbsp;not&nbsp;available,84.4
1437882.AZRU01000028_gene724,AZRU01000028_gene724,annotation&nbsp;not&nbsp;available,84.4
1437882.AZRU01000059_gene4146,AZRU01000059_gene4146,annotation&nbsp;not&nbsp;available,84.4
1437882.AZRU01000069_gene2796,AZRU01000069_gene2796,Nucleotide-binding&nbsp;protein&nbsp;CEG18_25070,84.4
1437882.AZRU01000040_gene4725,AZRU01000040_gene4725,annotation&nbsp;not&nbsp;available,84.4
1437882.AZRU01000049_gene5252,AZRU01000049_gene5252,annotation&nbsp;not&nbsp;available,84.4
1437882.AZRU01000007_gene3022,AZRU01000007_gene3022,annotation&nbsp;not&nbsp;available,84.4
1437882.AZRU01000003_gene1649,AZRU01000003_gene1649,annotation&nbsp;not&nbsp;available,84.4
1437882.AZRU01000006_gene1597,AZRU01000006_gene1597,annotation&nbsp;not&nbsp;available,84.3
1437882.AZRU01000038_gene5451,AZRU01000038_gene5451,annotation&nbsp;not&nbsp;available,84.3
1437882.AZRU01000211_gene2525,AZRU01000211_gene2525,annotation&nbsp;not&nbsp;available,84.3
1437882.AZRU01000095_gene1251,AZRU01000095_gene1251,annotation&nbsp;not&nbsp;available,84.3
1437882.AZRU01000016_gene3273,AZRU01000016_gene3273,annotation&nbsp;not&nbsp;available,84.3
1437882.AZRU01000043_gene4857,AZRU01000043_gene4857,annotation&nbsp;not&nbsp;available,84.3
1437882.AZRU01000089_gene7031,AZRU01000089_gene7031,annotation&nbsp;not&nbsp;available,84.3
1437882.AZRU01000039_gene4643,AZRU01000039_gene4643,annotation&nbsp;not&nbsp;available,84.3
1437882.AZRU01000110_gene4919,AZRU01000110_gene4919,annotation&nbsp;not&nbsp;available,84.3
1437882.AZRU01000061_gene4054,AZRU01000061_gene4054,annotation&nbsp;not&nbsp;available,84.2
1437882.AZRU01000107_gene2834,msrP,Protein-methionine-sulfoxide&nbsp;reductase&nbsp;catalytic&nbsp;subunit&nbsp;MsrP,84.2
1437882.AZRU01000019_gene6034,AZRU01000019_gene6034,annotation&nbsp;not&nbsp;available,84.2
1437882.AZRU01000045_gene4779,AZRU01000045_gene4779,annotation&nbsp;not&nbsp;available,84.2
1437882.AZRU01000061_gene4065,AZRU01000061_gene4065,annotation&nbsp;not&nbsp;available,84.2
1437882.AZRU01000012_gene3445,AZRU01000012_gene3445,annotation&nbsp;not&nbsp;available,84.1
1437882.AZRU01000043_gene4851,AZRU01000043_gene4851,Protoheme&nbsp;IX&nbsp;farnesyltransferase,84.1
1437882.AZRU01000035_gene389,AZRU01000035_gene389,annotation&nbsp;not&nbsp;available,84.1
1437882.AZRU01000047_gene5093,AZRU01000047_gene5093,annotation&nbsp;not&nbsp;available,84.1
1437882.AZRU01000075_gene4461,mfd,Transcription-repair-coupling&nbsp;factor,84.1
1437882.AZRU01000070_gene2744,AZRU01000070_gene2744,annotation&nbsp;not&nbsp;available,84.1
1437882.AZRU01000001_gene2086,cysT,annotation&nbsp;not&nbsp;available,84.1
1437882.AZRU01000009_gene963,AZRU01000009_gene963,annotation&nbsp;not&nbsp;available,84.0
1437882.AZRU01000031_gene40,AZRU01000031_gene40,annotation&nbsp;not&nbsp;available,84.0
1437882.AZRU01000030_gene178,AZRU01000030_gene178,Flagellar&nbsp;motor&nbsp;switch&nbsp;protein&nbsp;FliM,84.0
1437882.AZRU01000022_gene6271,AZRU01000022_gene6271,annotation&nbsp;not&nbsp;available,84.0
1437882.AZRU01000005_gene1305,AZRU01000005_gene1305,annotation&nbsp;not&nbsp;available,84.0
1437882.AZRU01000123_gene4908,AZRU01000123_gene4908,annotation&nbsp;not&nbsp;available,83.9
1437882.AZRU01000052_gene3856,rplI,50S&nbsp;ribosomal&nbsp;protein&nbsp;L9,83.9
1437882.AZRU01000059_gene4144,AZRU01000059_gene4144,annotation&nbsp;not&nbsp;available,83.9
1437882.AZRU01000008_gene2930,AZRU01000008_gene2930,annotation&nbsp;not&nbsp;available,83.9
1437882.AZRU01000007_gene3072,obg,GTPase&nbsp;Obg,83.9
1437882.AZRU01000022_gene6347,AZRU01000022_gene6347,annotation&nbsp;not&nbsp;available,83.9
1437882.AZRU01000025_gene5901,AZRU01000025_gene5901,annotation&nbsp;not&nbsp;available,83.9
1437882.AZRU01000045_gene4804,AZRU01000045_gene4804,annotation&nbsp;not&nbsp;available,83.8
1437882.AZRU01000045_gene4750,AZRU01000045_gene4750,annotation&nbsp;not&nbsp;available,83.8
1437882.AZRU01000020_gene6119,AZRU01000020_gene6119,annotation&nbsp;not&nbsp;available,83.8
1437882.AZRU01000001_gene2116,AZRU01000001_gene2116,annotation&nbsp;not&nbsp;available,83.8
1437882.AZRU01000020_gene6116,AZRU01000020_gene6116,annotation&nbsp;not&nbsp;available,83.8
1437882.AZRU01000004_gene1853,AZRU01000004_gene1853,annotation&nbsp;not&nbsp;available,83.7
1437882.AZRU01000091_gene4874,AZRU01000091_gene4874,annotation&nbsp;not&nbsp;available,83.7
1437882.AZRU01000035_gene387,AZRU01000035_gene387,annotation&nbsp;not&nbsp;available,83.7
1437882.AZRU01000055_gene3749,AZRU01000055_gene3749,annotation&nbsp;not&nbsp;available,83.7
1437882.AZRU01000012_gene3509,AZRU01000012_gene3509,annotation&nbsp;not&nbsp;available,83.7
1437882.AZRU01000004_gene1800,AZRU01000004_gene1800,annotation&nbsp;not&nbsp;available,83.6
1437882.AZRU01000059_gene4136,bioA,Adenosylmethionine-8-amino-7-oxononanoate&nbsp;aminotransferase,83.6
1437882.AZRU01000069_gene2790,lptC,Lipopolysaccharide&nbsp;export&nbsp;system&nbsp;protein&nbsp;LptC,83.6
1437882.AZRU01000038_gene5473,AZRU01000038_gene5473,annotation&nbsp;not&nbsp;available,83.6
1437882.AZRU01000097_gene1093,AZRU01000097_gene1093,annotation&nbsp;not&nbsp;available,83.6
1437882.AZRU01000012_gene3476,AZRU01000012_gene3476,annotation&nbsp;not&nbsp;available,83.6
1437882.AZRU01000001_gene2008,pyrE,Orotate&nbsp;phosphoribosyltransferase,83.6
1437882.AZRU01000129_gene5217,AZRU01000129_gene5217,annotation&nbsp;not&nbsp;available,83.6
1437882.AZRU01000011_gene3635,AZRU01000011_gene3635,annotation&nbsp;not&nbsp;available,83.5
1437882.AZRU01000031_gene107,AZRU01000031_gene107,annotation&nbsp;not&nbsp;available,83.5
1437882.AZRU01000096_gene1077,AZRU01000096_gene1077,annotation&nbsp;not&nbsp;available,83.5
1437882.AZRU01000005_gene1345,AZRU01000005_gene1345,annotation&nbsp;not&nbsp;available,83.5
1437882.AZRU01000008_gene2856,AZRU01000008_gene2856,annotation&nbsp;not&nbsp;available,83.5
1437882.AZRU01000006_gene1609,AZRU01000006_gene1609,annotation&nbsp;not&nbsp;available,83.5
1437882.AZRU01000060_gene4113,AZRU01000060_gene4113,annotation&nbsp;not&nbsp;available,83.5
1437882.AZRU01000054_gene3721,AZRU01000054_gene3721,annotation&nbsp;not&nbsp;available,83.5
1437882.AZRU01000028_gene750,AZRU01000028_gene750,annotation&nbsp;not&nbsp;available,83.5
1437882.AZRU01000056_gene3788,AZRU01000056_gene3788,annotation&nbsp;not&nbsp;available,83.4
1437882.AZRU01000006_gene1555,AZRU01000006_gene1555,annotation&nbsp;not&nbsp;available,83.4
1437882.AZRU01000138_gene1060,AZRU01000138_gene1060,annotation&nbsp;not&nbsp;available,83.4
1437882.AZRU01000044_gene6645,AZRU01000044_gene6645,annotation&nbsp;not&nbsp;available,83.4
1437882.AZRU01000121_gene4885,AZRU01000121_gene4885,annotation&nbsp;not&nbsp;available,83.4
1437882.AZRU01000007_gene3010,AZRU01000007_gene3010,annotation&nbsp;not&nbsp;available,83.4
1437882.AZRU01000055_gene3759,AZRU01000055_gene3759,annotation&nbsp;not&nbsp;available,83.4
1437882.AZRU01000001_gene2132,AZRU01000001_gene2132,annotation&nbsp;not&nbsp;available,83.4
1437882.AZRU01000025_gene5896,AZRU01000025_gene5896,annotation&nbsp;not&nbsp;available,83.4
1437882.AZRU01000003_gene1724,AZRU01000003_gene1724,annotation&nbsp;not&nbsp;available,83.3
1437882.AZRU01000025_gene5878,AZRU01000025_gene5878,annotation&nbsp;not&nbsp;available,83.3
1437882.AZRU01000024_gene5800,AZRU01000024_gene5800,annotation&nbsp;not&nbsp;available,83.3
1437882.AZRU01000011_gene3591,AZRU01000011_gene3591,annotation&nbsp;not&nbsp;available,83.3
1437882.AZRU01000065_gene6878,AZRU01000065_gene6878,annotation&nbsp;not&nbsp;available,83.3
1437882.AZRU01000038_gene5499,AZRU01000038_gene5499,annotation&nbsp;not&nbsp;available,83.3
1437882.AZRU01000040_gene4706,AZRU01000040_gene4706,annotation&nbsp;not&nbsp;available,83.3
1437882.AZRU01000046_gene5160,AZRU01000046_gene5160,annotation&nbsp;not&nbsp;available,83.3
1437882.AZRU01000026_gene5977,AZRU01000026_gene5977,annotation&nbsp;not&nbsp;available,83.3
1437882.AZRU01000001_gene2194,ilvD,annotation&nbsp;not&nbsp;available,83.2
1437882.AZRU01000082_gene6827,folE2,GTP&nbsp;cyclohydrolase&nbsp;FolE2,83.2
1437882.AZRU01000001_gene2110,AZRU01000001_gene2110,annotation&nbsp;not&nbsp;available,83.2
1437882.AZRU01000064_gene7041,AZRU01000064_gene7041,annotation&nbsp;not&nbsp;available,83.2
1437882.AZRU01000061_gene4039,fliH,annotation&nbsp;not&nbsp;available,83.1
1437882.AZRU01000031_gene95,AZRU01000031_gene95,annotation&nbsp;not&nbsp;available,83.1
1437882.AZRU01000023_gene5716,uppP,Undecaprenyl-diphosphatase,83.1
1437882.AZRU01000080_gene3966,proC,Pyrroline-5-carboxylate&nbsp;reductase,83.1
1437882.AZRU01000024_gene5754,AZRU01000024_gene5754,annotation&nbsp;not&nbsp;available,83.1
1437882.AZRU01000133_gene6715,rpsS,30S&nbsp;ribosomal&nbsp;protein&nbsp;S19,83.1
1437882.AZRU01000069_gene2808,AZRU01000069_gene2808,annotation&nbsp;not&nbsp;available,83.1
1437882.AZRU01000048_gene5185,AZRU01000048_gene5185,annotation&nbsp;not&nbsp;available,83.0
1437882.AZRU01000002_gene2391,phnW,2-aminoethylphosphonate--pyruvate&nbsp;transaminase,83.0
1437882.AZRU01000017_gene6433,nusB,Transcription&nbsp;antitermination&nbsp;protein&nbsp;NusB,83.0
1437882.AZRU01000052_gene3859,rpsF,30S&nbsp;ribosomal&nbsp;protein&nbsp;S6,83.0
1437882.AZRU01000211_gene2555,AZRU01000211_gene2555,annotation&nbsp;not&nbsp;available,83.0
1437882.AZRU01000052_gene3846,AZRU01000052_gene3846,annotation&nbsp;not&nbsp;available,83.0
1437882.AZRU01000054_gene3720,AZRU01000054_gene3720,annotation&nbsp;not&nbsp;available,83.0
1437882.AZRU01000040_gene4667,AZRU01000040_gene4667,annotation&nbsp;not&nbsp;available,82.9
1437882.AZRU01000012_gene3535,AZRU01000012_gene3535,annotation&nbsp;not&nbsp;available,82.9
1437882.AZRU01000089_gene7030,AZRU01000089_gene7030,annotation&nbsp;not&nbsp;available,82.9
1437882.AZRU01000012_gene3514,AZRU01000012_gene3514,annotation&nbsp;not&nbsp;available,82.9
1437882.AZRU01000001_gene2243,AZRU01000001_gene2243,annotation&nbsp;not&nbsp;available,82.9
1437882.AZRU01000140_gene4348,AZRU01000140_gene4348,annotation&nbsp;not&nbsp;available,82.9
1437882.AZRU01000016_gene3328,AZRU01000016_gene3328,annotation&nbsp;not&nbsp;available,82.9
1437882.AZRU01000099_gene1113,AZRU01000099_gene1113,annotation&nbsp;not&nbsp;available,82.9
1437882.AZRU01000006_gene1583,AZRU01000006_gene1583,annotation&nbsp;not&nbsp;available,82.9
1437882.AZRU01000030_gene118,AZRU01000030_gene118,annotation&nbsp;not&nbsp;available,82.9
1437882.AZRU01000019_gene6014,AZRU01000019_gene6014,annotation&nbsp;not&nbsp;available,82.9
1437882.AZRU01000049_gene5242,AZRU01000049_gene5242,annotation&nbsp;not&nbsp;available,82.9
1437882.AZRU01000024_gene5799,AZRU01000024_gene5799,annotation&nbsp;not&nbsp;available,82.9
1437882.AZRU01000012_gene3440,AZRU01000012_gene3440,annotation&nbsp;not&nbsp;available,82.9
1437882.AZRU01000094_gene1167,AZRU01000094_gene1167,annotation&nbsp;not&nbsp;available,82.8
1437882.AZRU01000058_gene4157,AZRU01000058_gene4157,annotation&nbsp;not&nbsp;available,82.8
1437882.AZRU01000134_gene6695,AZRU01000134_gene6695,annotation&nbsp;not&nbsp;available,82.8
1437882.AZRU01000023_gene5703,AZRU01000023_gene5703,annotation&nbsp;not&nbsp;available,82.8
1437882.AZRU01000072_gene4742,AZRU01000072_gene4742,Carbonic&nbsp;anhydrase,82.8
1437882.AZRU01000018_gene6502,murD,UDP-N-acetylmuramoylalanine--D-glutamate&nbsp;ligase,82.8
1437882.AZRU01000061_gene4046,fliS,annotation&nbsp;not&nbsp;available,82.8
1437882.AZRU01000034_gene395,AZRU01000034_gene395,annotation&nbsp;not&nbsp;available,82.8
1437882.AZRU01000039_gene4599,AZRU01000039_gene4599,annotation&nbsp;not&nbsp;available,82.8
1437882.AZRU01000001_gene2103,rfbA,Glucose-1-phosphate&nbsp;thymidylyltransferase,82.8
1437882.AZRU01000049_gene5260,AZRU01000049_gene5260,annotation&nbsp;not&nbsp;available,82.7
1437882.AZRU01000060_gene4108,AZRU01000060_gene4108,annotation&nbsp;not&nbsp;available,82.7
1437882.AZRU01000018_gene6530,groL,60&nbsp;kDa&nbsp;chaperonin,82.7
1437882.AZRU01000008_gene2861,AZRU01000008_gene2861,annotation&nbsp;not&nbsp;available,82.7
1437882.AZRU01000012_gene3503,rpsU,annotation&nbsp;not&nbsp;available,82.7
1437882.AZRU01000036_gene277,AZRU01000036_gene277,annotation&nbsp;not&nbsp;available,82.7
1437882.AZRU01000027_gene827,AZRU01000027_gene827,annotation&nbsp;not&nbsp;available,82.7
1437882.AZRU01000051_gene5360,ccmD,Heme&nbsp;exporter&nbsp;protein&nbsp;D,82.7
1437882.AZRU01000024_gene5738,tmk,Thymidylate&nbsp;kinase,82.7
1437882.AZRU01000070_gene2738,AZRU01000070_gene2738,annotation&nbsp;not&nbsp;available,82.7
1437882.AZRU01000011_gene3592,AZRU01000011_gene3592,annotation&nbsp;not&nbsp;available,82.7
1437882.AZRU01000005_gene1448,AZRU01000005_gene1448,annotation&nbsp;not&nbsp;available,82.7
1437882.AZRU01000005_gene1457,AZRU01000005_gene1457,annotation&nbsp;not&nbsp;available,82.6
1437882.AZRU01000017_gene6420,AZRU01000017_gene6420,annotation&nbsp;not&nbsp;available,82.6
1437882.AZRU01000033_gene527,AZRU01000033_gene527,annotation&nbsp;not&nbsp;available,82.6
1437882.AZRU01000014_gene3216,AZRU01000014_gene3216,annotation&nbsp;not&nbsp;available,82.6
1437882.AZRU01000049_gene5258,AZRU01000049_gene5258,"Peptidoglycan&nbsp;D,D-transpeptidase&nbsp;MrdA",82.5
1437882.AZRU01000211_gene2635,AZRU01000211_gene2635,annotation&nbsp;not&nbsp;available,82.5
1437882.AZRU01000063_gene672,AZRU01000063_gene672,annotation&nbsp;not&nbsp;available,82.5
1437882.AZRU01000063_gene663,AZRU01000063_gene663,Oxaloacetate&nbsp;decarboxylase,82.5
1437882.AZRU01000052_gene3853,AZRU01000052_gene3853,Alanine&nbsp;racemase,82.5
1437882.AZRU01000004_gene1848,AZRU01000004_gene1848,annotation&nbsp;not&nbsp;available,82.5
1437882.AZRU01000028_gene774,lldD,L-lactate&nbsp;dehydrogenase,82.5
1437882.AZRU01000026_gene5965,AZRU01000026_gene5965,annotation&nbsp;not&nbsp;available,82.5
1437882.AZRU01000011_gene3593,AZRU01000011_gene3593,annotation&nbsp;not&nbsp;available,82.5
1437882.AZRU01000038_gene5501,AZRU01000038_gene5501,annotation&nbsp;not&nbsp;available,82.5
1437882.AZRU01000087_gene5609,AZRU01000087_gene5609,annotation&nbsp;not&nbsp;available,82.4
1437882.AZRU01000017_gene6374,AZRU01000017_gene6374,annotation&nbsp;not&nbsp;available,82.4
1437882.AZRU01000006_gene1564,iscR,annotation&nbsp;not&nbsp;available,82.4
1437882.AZRU01000054_gene3706,fabZ,annotation&nbsp;not&nbsp;available,82.4
1437882.AZRU01000018_gene6478,AZRU01000018_gene6478,annotation&nbsp;not&nbsp;available,82.4
1437882.AZRU01000069_gene2795,ptsN,annotation&nbsp;not&nbsp;available,82.4
1437882.AZRU01000046_gene5150,AZRU01000046_gene5150,annotation&nbsp;not&nbsp;available,82.4
1437882.AZRU01000076_gene1141,AZRU01000076_gene1141,annotation&nbsp;not&nbsp;available,82.4
1437882.AZRU01000075_gene4447,AZRU01000075_gene4447,annotation&nbsp;not&nbsp;available,82.3
1437882.AZRU01000052_gene3825,AZRU01000052_gene3825,annotation&nbsp;not&nbsp;available,82.3
1437882.AZRU01000004_gene1820,AZRU01000004_gene1820,annotation&nbsp;not&nbsp;available,82.3
1437882.AZRU01000005_gene1407,AZRU01000005_gene1407,annotation&nbsp;not&nbsp;available,82.3
1437882.AZRU01000048_gene5162,AZRU01000048_gene5162,annotation&nbsp;not&nbsp;available,82.3
1437882.AZRU01000067_gene5433,AZRU01000067_gene5433,annotation&nbsp;not&nbsp;available,82.3
1437882.AZRU01000045_gene4771,AZRU01000045_gene4771,Phosphoenolpyruvate&nbsp;synthase,82.3
1437882.AZRU01000043_gene4819,AZRU01000043_gene4819,annotation&nbsp;not&nbsp;available,82.3
1437882.AZRU01000019_gene6082,AZRU01000019_gene6082,annotation&nbsp;not&nbsp;available,82.3
1437882.AZRU01000014_gene3176,AZRU01000014_gene3176,annotation&nbsp;not&nbsp;available,82.3
1437882.AZRU01000049_gene5263,AZRU01000049_gene5263,annotation&nbsp;not&nbsp;available,82.3
1437882.AZRU01000017_gene6417,rsfS,Ribosomal&nbsp;silencing&nbsp;factor&nbsp;RsfS,82.2
1437882.AZRU01000035_gene388,AZRU01000035_gene388,annotation&nbsp;not&nbsp;available,82.2
1437882.AZRU01000030_gene175,AZRU01000030_gene175,annotation&nbsp;not&nbsp;available,82.2
1437882.AZRU01000038_gene5482,AZRU01000038_gene5482,annotation&nbsp;not&nbsp;available,82.2
1437882.AZRU01000009_gene907,gloB,Hydroxyacylglutathione&nbsp;hydrolase,82.2
1437882.AZRU01000045_gene4781,AZRU01000045_gene4781,annotation&nbsp;not&nbsp;available,82.2
1437882.AZRU01000005_gene1304,AZRU01000005_gene1304,annotation&nbsp;not&nbsp;available,82.2
1437882.AZRU01000021_gene6217,AZRU01000021_gene6217,annotation&nbsp;not&nbsp;available,82.1
1437882.AZRU01000035_gene346,AZRU01000035_gene346,annotation&nbsp;not&nbsp;available,82.1
1437882.AZRU01000054_gene3695,AZRU01000054_gene3695,annotation&nbsp;not&nbsp;available,82.1
1437882.AZRU01000005_gene1373,AZRU01000005_gene1373,annotation&nbsp;not&nbsp;available,82.1
1437882.AZRU01000059_gene4127,AZRU01000059_gene4127,annotation&nbsp;not&nbsp;available,82.1
1437882.AZRU01000008_gene2867,AZRU01000008_gene2867,annotation&nbsp;not&nbsp;available,82.1
1437882.AZRU01000063_gene656,AZRU01000063_gene656,annotation&nbsp;not&nbsp;available,82.1
1437882.AZRU01000054_gene3716,tsf,annotation&nbsp;not&nbsp;available,82.1
1437882.AZRU01000023_gene5684,AZRU01000023_gene5684,annotation&nbsp;not&nbsp;available,82.1
1437882.AZRU01000031_gene65,AZRU01000031_gene65,annotation&nbsp;not&nbsp;available,82.1
1437882.AZRU01000018_gene6513,secA,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecA,82.1
1437882.AZRU01000211_gene2577,AZRU01000211_gene2577,annotation&nbsp;not&nbsp;available,82.1
1437882.AZRU01000014_gene3174,AZRU01000014_gene3174,annotation&nbsp;not&nbsp;available,82.1
1437882.AZRU01000018_gene6466,cysD,annotation&nbsp;not&nbsp;available,82.0
1437882.AZRU01000080_gene3972,metW,annotation&nbsp;not&nbsp;available,82.0
1437882.AZRU01000007_gene2992,AZRU01000007_gene2992,annotation&nbsp;not&nbsp;available,82.0
1437882.AZRU01000038_gene5500,AZRU01000038_gene5500,annotation&nbsp;not&nbsp;available,82.0
1437882.AZRU01000112_gene4939,AZRU01000112_gene4939,annotation&nbsp;not&nbsp;available,82.0
1437882.AZRU01000012_gene3437,AZRU01000012_gene3437,annotation&nbsp;not&nbsp;available,81.9
1437882.AZRU01000009_gene983,catC,annotation&nbsp;not&nbsp;available,81.9
1437882.AZRU01000005_gene1368,AZRU01000005_gene1368,annotation&nbsp;not&nbsp;available,81.9
1437882.AZRU01000042_gene4543,AZRU01000042_gene4543,annotation&nbsp;not&nbsp;available,81.9
1437882.AZRU01000103_gene3892,rplK,50S&nbsp;ribosomal&nbsp;protein&nbsp;L11,81.9
1437882.AZRU01000041_gene4477,AZRU01000041_gene4477,annotation&nbsp;not&nbsp;available,81.9
1437882.AZRU01000101_gene4472,ychF,annotation&nbsp;not&nbsp;available,81.8
1437882.AZRU01000060_gene4082,AZRU01000060_gene4082,annotation&nbsp;not&nbsp;available,81.8
1437882.AZRU01000016_gene3238,AZRU01000016_gene3238,annotation&nbsp;not&nbsp;available,81.8
1437882.AZRU01000051_gene5400,AZRU01000051_gene5400,annotation&nbsp;not&nbsp;available,81.8
1437882.AZRU01000007_gene2978,AZRU01000007_gene2978,annotation&nbsp;not&nbsp;available,81.8
1437882.AZRU01000056_gene3806,AZRU01000056_gene3806,annotation&nbsp;not&nbsp;available,81.8
1437882.AZRU01000006_gene1567,iscA,annotation&nbsp;not&nbsp;available,81.8
1437882.AZRU01000034_gene399,AZRU01000034_gene399,annotation&nbsp;not&nbsp;available,81.8
1437882.AZRU01000040_gene4691,AZRU01000040_gene4691,annotation&nbsp;not&nbsp;available,81.8
1437882.AZRU01000028_gene720,AZRU01000028_gene720,annotation&nbsp;not&nbsp;available,81.8
1437882.AZRU01000005_gene1395,AZRU01000005_gene1395,annotation&nbsp;not&nbsp;available,81.8
1437882.AZRU01000051_gene5361,ccmE,Cytochrome&nbsp;c-type&nbsp;biogenesis&nbsp;protein&nbsp;CcmE,81.8
1437882.AZRU01000007_gene3007,AZRU01000007_gene3007,annotation&nbsp;not&nbsp;available,81.7
1437882.AZRU01000077_gene3990,AZRU01000077_gene3990,annotation&nbsp;not&nbsp;available,81.7
1437882.AZRU01000044_gene6652,AZRU01000044_gene6652,annotation&nbsp;not&nbsp;available,81.7
1437882.AZRU01000026_gene5951,AZRU01000026_gene5951,annotation&nbsp;not&nbsp;available,81.7
1437882.AZRU01000054_gene3697,AZRU01000054_gene3697,annotation&nbsp;not&nbsp;available,81.7
1437882.AZRU01000004_gene1914,AZRU01000004_gene1914,annotation&nbsp;not&nbsp;available,81.7
1437882.AZRU01000091_gene4871,AZRU01000091_gene4871,annotation&nbsp;not&nbsp;available,81.6
1437882.AZRU01000021_gene6240,AZRU01000021_gene6240,annotation&nbsp;not&nbsp;available,81.6
1437882.AZRU01000005_gene1434,AZRU01000005_gene1434,annotation&nbsp;not&nbsp;available,81.6
1437882.AZRU01000036_gene259,AZRU01000036_gene259,annotation&nbsp;not&nbsp;available,81.6
1437882.AZRU01000037_gene4423,gluQ,Glutamyl-Q&nbsp;tRNA(Asp)&nbsp;synthetase,81.6
1437882.AZRU01000033_gene517,AZRU01000033_gene517,annotation&nbsp;not&nbsp;available,81.6
1437882.AZRU01000028_gene744,AZRU01000028_gene744,annotation&nbsp;not&nbsp;available,81.5
1437882.AZRU01000026_gene5939,AZRU01000026_gene5939,annotation&nbsp;not&nbsp;available,81.5
1437882.AZRU01000117_gene4309,AZRU01000117_gene4309,annotation&nbsp;not&nbsp;available,81.5
